Table 78,,,,,,
Full-time Law Enforcement Employees ,,,,,,
"by State by City, 2006",,,,,,
State,City,Total law enforcement employees,Total officers,Total civilians,,
ALABAMA,Abbeville,17,7,10,,
,Adamsville,30,18,12,,
,Addison,3,3,0,,
,Alabaster,81,64,17,,
,Albertville,55,38,17,,
,Alexander City,58,41,17,,
,Aliceville,12,8,4,,
,Andalusia,37,28,9,,
,Anniston,114,81,33,,
,Arab,32,25,7,,
,Ardmore,12,8,4,,
,Argo,3,3,0,,
,Ariton,2,2,0,,
,Ashford,9,5,4,,
,Ashland,8,4,4,,
,Ashville,5,5,0,,
,Athens,55,43,12,,
,Atmore,28,24,4,,
,Attalla,26,21,5,,
,Auburn,105,99,6,,
,Autaugaville,2,2,0,,
,Baker Hill,2,2,0,,
,Bay Minette,32,24,8,,
,Bayou La Batre,19,14,5,,
,Bear Creek,3,3,0,,
,Berry,3,3,0,,
,Birmingham,"1,071",791,280,,
,Blountsville,7,7,0,,
,Boaz,34,24,10,,
,Brent,5,5,0,,
,Brewton,28,22,6,,
,Bridgeport,10,6,4,,
,Brighton,13,10,3,,
,Brilliant,3,3,0,,
,Brookside,2,2,0,,
,Brundidge,12,7,5,,
,Butler,6,6,0,,
,Calera,32,25,7,,
,Camden,9,8,1,,
,Carbon Hill,10,5,5,,
,Carrollton,4,3,1,,
,Cedar Bluff,4,4,0,,
,Centre,10,9,1,,
,Centreville,5,5,0,,
,Chatom,6,6,0,,
,Cherokee,4,4,0,,
,Chickasaw,23,23,0,,
,Childersburg,16,11,5,,
,Citronelle,13,10,3,,
,Clanton,23,22,1,,
,Clayhatchee,1,1,0,,
,Clayton,2,2,0,,
,Cleveland,2,2,0,,
,Clio,3,3,0,,
,Coffeeville,1,1,0,,
,Collinsville,7,3,4,,
,Columbia,2,2,0,,
,Columbiana,12,8,4,,
,Coosada,3,3,0,,
,Cordova,9,2,7,,
,Cottonwood,2,2,0,,
,Courtland,4,4,0,,
,Creola,10,6,4,,
,Crossville,3,3,0,,
,Cullman,69,49,20,,
,Dadeville,13,12,1,,
,Daleville,24,17,7,,
,Daphne,75,45,30,,
,Dauphin Island,13,9,4,,
,Decatur,156,133,23,,
,Demopolis,22,19,3,,
,Dora,8,4,4,,
,Dothan,215,143,72,,
,Double Springs,5,5,0,,
,Dozier,1,1,0,,
,East Brewton,8,6,2,,
,Eclectic,9,5,4,,
,Elberta,7,6,1,,
,Enterprise,72,52,20,,
,Eufaula,51,33,18,,
,Eutaw,11,10,1,,
,Evergreen,18,13,5,,
,Excel,1,1,0,,
,Fairfield,50,36,14,,
,Fairhope,52,30,22,,
,Falkville,4,4,0,,
,Fayette,12,12,0,,
,Florala,12,10,2,,
,Florence,118,94,24,,
,Foley,58,33,25,,
,Fort Payne,40,36,4,,
,Frisco City,2,2,0,,
,Fultondale,18,17,1,,
,Gadsden,134,96,38, ,
,Gardendale,37,28,9,,
,Geneva,15,11,4,,
,Georgiana,11,8,3,,
,Geraldine,2,2,0,,
,Glencoe,9,6,3,,
,Goodwater,7,4,3,,
,Graysville,8,5,3,,
,Greensboro,7,7,0,,
,Greenville,41,32,9,,
,Grove Hill,5,5,0,,
,Guin,5,5,0,,
,Gulf Shores,49,36,13,,
,Guntersville,38,31,7,,
,Gurley,4,4,0,,
,Hackleburg,4,4,0,,
,Haleyville,17,12,5,,
,Hamilton,15,14,1,,
,Hanceville,12,8,4,,
,Harpersville,8,8,0,,
,Hartford,15,10,5,,
,Hartselle,37,29,8,,
,Hayneville,3,3,0,,
,Headland,19,12,7,,
,Heflin,13,12,1,,
,Helena,26,21,5,,
,Henagar,9,5,4,,
,Hillsboro,1,1,0,,
,Hobson City,4,2,2,,
,Hokes Bluff,9,7,2,,
,Hollywood,2,2,0,,
,Homewood,110,75,35,,
,Hoover,213,153,60,,
,Hueytown,34,28,6,,
,Huntsville,475,357,118,,
,Ider,5,4,1,,
,Irondale,34,27,7,,
,Jackson,21,16,5,,
,Jacksonville,28,24,4,,
,Jasper,69,45,24,,
,Jemison,10,9,1,,
,Killen,5,5,0,,
,Kimberly,9,5,4,,
,Kinsey,3,2,1,,
,Lafayette,16,15,1,,
,Lake View,4,4,0,,
,Lanett,20,18,2,,
,Leeds,24,19,5,,
,Leighton,1,1,0,,
,Level Plains,3,2,1,,
,Lexington,1,1,0,,
,Lincoln,21,16,5,,
,Linden,8,8,0,,
,Lineville,11,7,4,,
,Lipscomb,11,4,7,,
,Littleville,7,5,2,,
,Livingston,12,8,4,,
,Lockhart,2,1,1,,
,Louisville,3,3,0,,
,Loxley,13,8,5,,
,Madison,85,62,23,,
,Maplesville,6,5,1,,
,Marion,13,7,6,,
,McIntosh,5,5,0,,
,McKenzie,1,1,0,,
,Midfield,19,15,4,,
,Midland City,8,5,3,,
,Millbrook,32,23,9,,
,Millport,1,1,0,,
,Millry,5,3,2,,
,Mobile,662,514,148,,
,Montevallo,19,15,4,,
,Montgomery,600,452,148,,
,Moody,17,16,1,,
,Morris,7,6,1,,
,Mosses,1,1,0,,
,Moulton,11,11,0,,
,Moundville,6,5,1,,
,Mountain Brook,62,48,14,,
,Mount Vernon,4,4,0,,
,Muscle Shoals,44,35,9,,
,Napier Field,1,1,0,,
,New Brockton,4,4,0,,
,New Hope,6,6,0,,
,New Site,1,1,0,,
,Newville,11,1,10,,
,North Courtland,5,4,1,,
,Northport,76,58,18,,
,Notasulga,7,4,3,,
,Oakman,1,1,0,,
,Odenville,5,5,0,,
,Ohatchee,6,6,0,,
,Oneonta,19,18,1,,
,Opelika,107,84,23,,
,Opp,28,21,7,,
,Orange Beach,62,40,22,,
,Owens Crossroads,2,2,0,,
,Oxford,61,50,11,,
,Ozark,40,34,6,,
,Pelham,80,65,15,,
,Pell City,33,31,2,,
,Phenix City,97,76,21,,
,Phil Campbell,2,2,0,,
,Pickensville,2,1,1,,
,Piedmont,16,12,4,,
,Pinckard,2,2,0,,
,Pine Hill,5,5,0,,
,Pleasant Grove,22,17,5,,
,Powell,2,1,1,,
,Prattville,81,73,8,,
,Priceville,4,4,0,,
,Prichard,72,48,24,,
,Ragland,7,4,3,,
,Rainbow City,30,20,10,,
,Rainsville,14,10,4,,
,Ranburne,2,2,0,,
,Red Bay,11,7,4,,
,Red Level,2,1,1,,
,Reform,5,5,0,,
,Riverside,4,4,0,,
,Roanoke,27,22,5,,
,Robertsdale,26,14,12,,
,Rockford,2,1,1,,
,Rogersville,5,5,0,,
,Russellville,29,24,5,,
,Samson,6,5,1,,
,Saraland,48,37,11,,
,Satsuma,18,14,4,,
,Scottsboro,63,44,19,,
,Section,2,2,0,,
,Selma,80,57,23,,
,Sheffield,33,28,5,,
,Silas,1,1,0,,
,Silverhill,1,1,0,,
,Skyline,2,1,1,,
,Slocomb,8,6,2,,
,Snead,5,5,0,,
,Somerville,4,4,0,,
,Southside,16,11,5,,
,Spanish Fort,13,12,1,,
,Springville,10,10,0,,
,Steele,2,2,0,,
,Stevenson,6,4,2,,
,St. Florian,2,1,1,,
,Sulligent,5,5,0,,
,Sumiton,12,7,5,,
,Summerdale,7,6,1,,
,Sylacauga,49,38,11,,
,Talladega,56,40,16,,
,Tallassee,24,18,6,,
