Table 78,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2009",,,,,
State,City,Population,Total law enforcement employees,Total officers,Total civilians
ALABAMA,Abbeville,"2,932",16,8,8
,Adamsville,"4,704",32,21,11
,Addison,710,3,3,0
,Alabaster,"30,002",77,62,15
,Albertville,"20,078",55,34,21
,Alexander City,"15,057",66,48,18
,Aliceville,"2,456",10,9,1
,Andalusia,"8,994",39,29,10
,Anniston,"23,598",128,91,37
,Arab,"8,007",38,25,13
,Argo,"1,930",6,6,0
,Ashford,"2,087",9,5,4
,Ashland,"1,873",10,6,4
,Ashville,"2,599",5,5,0
,Athens,"24,261",57,46,11
,Atmore,"7,396",36,31,5
,Attalla,"6,514",26,21,5
,Auburn,"57,342",111,105,6
,Bay Minette,"8,065",34,25,9
,Bayou La Batre,"2,886",19,14,5
,Bear Creek,995,1,1,0
,Berry,"1,184",3,3,0
,Bessemer,"28,372",146,110,36
,Birmingham,"227,373","1,127",854,273
,Blountsville,"2,010",5,5,0
,Boaz,"8,418",32,22,10
,Brantley,910,4,4,0
,Brent,"4,381",5,5,0
,Brewton,"5,257",34,26,8
,Brighton,"3,234",12,8,4
,Brilliant,717,2,2,0
,Brookside,"1,317",1,1,0
,Brundidge,"2,262",13,8,5
,Butler,"1,687",5,5,0
,Calera,"12,159",31,25,6
,Camden,"2,225",9,8,1
,Carbon Hill,"2,032",4,4,0
,Carrollton,923,4,4,0
,Centre,"3,522",10,9,1
,Centreville,"2,563",6,6,0
,Chatom,"1,161",5,5,0
,Cherokee,"1,160",4,4,0
,Chickasaw,"5,906",20,20,0
,Childersburg,"4,991",16,12,4
,Citronelle,"3,744",15,9,6
,Clanton,"8,943",28,26,2
,Clayhatchee,492,1,1,0
,Clayton,"1,367",4,4,0
,Clio,"2,211",3,3,0
,Coffeeville,342,1,1,0
,Collinsville,"1,698",9,4,5
,Columbiana,"3,873",12,8,4
,Coosada,"1,676",3,3,0
,Cordova,"2,270",7,5,2
,Cottonwood,"1,206",3,3,0
,Creola,"2,086",13,8,5
,Crossville,"1,515",3,3,0
,Cullman,"15,412",63,45,18
,Dadeville,"3,231",14,13,1
,Daleville,"4,535",24,18,6
,Daphne,"19,368",84,45,39
,Dauphin Island,"1,610",20,10,10
,Decatur,"56,290",155,130,25
,Dora,"2,424",6,3,3
,Dothan,"67,496",226,154,72
,Double Springs,969,6,5,1
,Douglas,601,2,2,0
,Dozier,396,1,1,0
,East Brewton,"2,482",7,5,2
,Eclectic,"1,159",9,5,4
,Elba,"4,163",26,17,9
,Elberta,"1,474",5,5,0
,Enterprise,"25,868",73,54,19
,Eufaula,"14,564",52,34,18
,Eutaw,"2,948",10,9,1
,Evergreen,"3,440",15,13,2
,Excel,605,1,1,0
,Fairfield,"11,212",48,37,11
,Fairhope,"17,723",54,34,20
,Falkville,"1,165",8,6,2
,Fayette,"4,766",13,12,1
,Flomaton,"1,532",10,5,5
,Florala,"1,877",5,5,0
,Florence,"38,055",122,96,26
,Foley,"14,566",87,59,28
,Fort Payne,"14,189",36,33,3
,Fultondale,"6,953",29,25,4
,Gadsden,"36,595",129,98,31
,Gardendale,"13,880",36,28,8
,Geneva,"4,448",16,12,4
,Georgiana,"1,549",11,8,3
,Geraldine,845,4,3,1
,Glencoe,"5,399",7,5,2
,Gordo,"1,545",4,4,0
,Grant,713,6,6,0
,Greensboro,"2,546",10,10,0
,Greenville,"6,999",33,26,7
,Grove Hill,"1,332",5,5,0
